,SESSION_ID,LOGIN_TIME,LOGOUT_TIME,USER_NAME,CLIENT,DRIVER,ENCRYPTED,HOST,OS_USER,OS_NAME,SUCCESS,ERROR_CODE,ERROR_TEXT
0,1673298135491152175,2020-07-26 12:37:35.513000,2020-07-28 06:34:51.282000,SYS,dbvis unknown,EXASolution JDBC Driver 6.2.5,1,10.0.2.2,joas,Windows 10 - 10.0 - amd64,1,,
1,1673411736553864124,2020-07-27 18:43:13.929000,,SYS,dbvis unknown,EXASolution JDBC Driver 6.2.5,1,10.0.2.2,joas,Windows 10 - 10.0 - amd64,1,,
2,1673448483437778794,2020-07-28 04:27:18.490000,2020-07-28 06:28:17.323000,SYS,dbvis unknown,EXASolution JDBC Driver 6.2.5,1,10.0.2.2,joas,Windows 10 - 10.0 - amd64,1,,
3,1673456110233010894,2020-07-28 06:28:31.967000,,SYS,dbvis unknown,EXASolution JDBC Driver 6.2.5,1,10.0.2.2,joas,Windows 10 - 10.0 - amd64,1,,
4,1673456625401178823,2020-07-28 06:36:43.269000,,SYS,dbvis unknown,EXASolution JDBC Driver 6.2.5,1,10.0.2.2,joas,Windows 10 - 10.0 - amd64,1,,
5,1673486266285967643,2020-07-28 14:27:51.020000,,SYS,dbvis unknown,EXASolution JDBC Driver 6.2.5,1,10.0.2.2,joas,Windows 10 - 10.0 - amd64,1,,
6,1673488441828622888,2020-07-28 15:02:25.780000,,SYS,PyEXASOL 0.12.0,PyEXASOL 0.12.0 ,0,10.0.2.2,joas,Windows-10-10.0.19041-SP0,1,,
7,1673488700398614213,2020-07-28 15:06:32.371000,,SYS,PyEXASOL 0.12.0,PyEXASOL 0.12.0 ,0,10.0.2.2,joas,Windows-10-10.0.19041-SP0,1,,
8,1673488794121514043,2020-07-28 15:08:01.752000,,SYS,PyEXASOL 0.12.0,PyEXASOL 0.12.0 ,0,10.0.2.2,joas,Windows-10-10.0.19041-SP0,1,,
9,1673488830806795368,2020-07-28 15:08:36.739000,,SYS,PyEXASOL 0.12.0,PyEXASOL 0.12.0 ,0,10.0.2.2,joas,Windows-10-10.0.19041-SP0,1,,
10,1673488846289904431,2020-07-28 15:08:51.505000,,SYS,PyEXASOL 0.12.0,PyEXASOL 0.12.0 ,0,10.0.2.2,joas,Windows-10-10.0.19041-SP0,1,,
11,1673488857307898137,2020-07-28 15:09:02.012000,,SYS,PyEXASOL 0.12.0,PyEXASOL 0.12.0 ,0,10.0.2.2,joas,Windows-10-10.0.19041-SP0,1,,
12,1673488975089496691,2020-07-28 15:10:54.336000,,SYS,PyEXASOL 0.12.0,PyEXASOL 0.12.0 ,0,10.0.2.2,joas,Windows-10-10.0.19041-SP0,1,,
